player_name,country,tour,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Salinda, Isaiah",#N/A,#N/A,10,1,0.096,0,32,0,-9999,-9999,-9999,-9999,-9999,-0.412394063
"Langasque, Romain",0,0,16,0,0.002,0,51,20,0.351953,0.014279,-0.190004,0.1285035,-0.0472215,-0.412966078
"Vincent, Scott",0,0,11,0,0,0,36,0,-9999,-9999,-9999,-9999,-9999,-0.433426389
"Van Velzen, Ryan",0,0,16,1,0,0,58,2,-1.670765,-1.048115,1.170995,-0.430485,-0.307605,-0.438386034
"Lin, Yuxin",#N/A,#N/A,7,0,0,0,24,1,0.10446,-0.85212,-2.94153,1.35286,-2.44079,-0.440577083
"Woodland, Gary",0,0,14,0,0,0,44,43,-0.042337442,-0.456572093,0.198649535,-0.108919535,-0.366842093,-0.440640909
"Lai, Eddy",#N/A,#N/A,3,0,0,0,11,0,-9999,-9999,-9999,-9999,-9999,-0.447354545
"Springer, Hayden",0,0,12,0,0,0,35,25,-0.0967836,-0.1993128,-0.5551104,0.1719068,-0.5825164,-0.450934
"Valdes, Brendan",#N/A,#N/A,10,1,0,0,31,0,-9999,-9999,-9999,-9999,-9999,-0.450977097
"Schwartzel, Charl",0,0,13,0,0.05,0,38,2,-0.681125,-0.993985,-0.136375,-0.861245,-1.991605,-0.452369474
"Bateman, Wilson",0,0,11,0,0,0,38,4,0.2500125,-0.0767275,-0.12879,-0.77295,-0.9784675,-0.461066579
"Streelman, Kevin",0,0,12,0,0,0,36,29,-0.409161724,0.011385862,0.012281034,-0.181835517,-0.158168621,-0.462542778
"Tosti, Alejandro",0,0,14,0,0.016,0,45,40,-0.38246625,-0.3363945,-0.46999175,0.67259325,-0.133793,-0.462928889
"Bling, Devon",#N/A,#N/A,4,0,0,0,15,0,-9999,-9999,-9999,-9999,-9999,-0.464375333
"Ramey, Chad",0,0,15,0,0,0,43,35,0.487978286,0.033072857,-0.798209143,-0.202419143,-0.967555429,-0.476874651
"Brown, Blades",#N/A,#N/A,6,0,0,0,19,4,0.121575,0.0210925,0.3259725,0.2421975,0.5892625,-0.477892632
"Dougherty, Kevin",0,0,12,0,0,0,35,28,-0.238747143,-0.601468214,-0.235545357,0.89889,0.061876429,-0.483176286
"Greaser, Austin",0,0,10,1,0,0,30,0,-9999,-9999,-9999,-9999,-9999,-0.487233667
"Griffin, Lanto",0,0,12,0,0,0,42,32,-0.51873625,-0.306014062,0.21349,0.138902188,0.046378125,-0.491720476
"Creighton, Myles",#N/A,#N/A,13,0,0.003,0,44,4,0.6700125,0.6750225,-1.21829,-0.3552,-0.8984675,-0.498779091
"Pereira, Mito",0,0,10,0,0.001,0,32,0,-9999,-9999,-9999,-9999,-9999,-0.500505
"Luiten, Joost",0,0,12,0,0,0,41,16,-0.36797125,-0.42836375,0.041545,0.450556875,0.063738125,-0.506929024
"Aphibarnrat, Kiradech",0,0,14,0,0.007,0,46,10,-0.507421,-0.553959,-0.944067,-0.804499,-2.302525,-0.512150217
"Shinkwin, Callum",0,0,9,0,0,0,28,20,-0.0666485,-0.673441,-0.343639,0.656403,-0.360677,-0.521097143
"Moore, Ryan",0,0,14,0,0.005,0,43,40,-0.77189175,0.1745735,0.2479995,0.03000225,0.45257525,-0.537201395
"Kohles, Ben",0,0,15,0,0.016,0,43,34,-0.121812353,-0.407861176,-0.265464706,0.003739706,-0.669586176,-0.53749907
"Wu, Brandon",0,0,15,0,0,0,42,31,-0.274709677,0.094921613,-0.090556774,-0.258047742,-0.253682903,-0.540067143
"Cook, Austin",0,0,12,0,0,0,36,14,0.010227143,0.510042143,-0.19381,-0.705944286,-0.389712143,-0.557422222
"Burgoon, Bronson",0,0,9,0,0.002,0,26,18,-0.636172222,-0.072136667,-0.169596667,0.173251667,-0.068481667,-0.573459231
"Girrbach, Joel",0,0,15,0,0.006,0,45,14,-0.156025,-0.60402,0.565655714,-0.141551429,-0.179915714,-0.579733333
"Xiong, Norman",0,0,10,0,0,0,26,18,0.231474444,-0.237351111,-1.312341667,0.201015556,-1.348677222,-0.585828846
"Smalley, Alex",0,0,16,0,0.001,0,40,32,-0.794104688,-0.35284375,-0.069199687,0.236875625,-0.185167812,-0.589023
"Riley, Davis",0,0,15,1,0.952,0,44,40,0.2011685,-0.01544275,-0.23451325,-0.4652815,-0.7152375,-0.590687727
"Bryan, Wesley",#N/A,#N/A,6,0,0.081,0,14,8,-1.01582625,0.30847,-0.51572125,-0.46104125,-0.6682925,-0.596708571
"Barnes, Erik",0,0,12,0,0.001,0,37,30,-0.204961667,-0.015094333,-0.302844667,-0.565194,-0.883133,-0.599171622
